City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Ada 	1,707	$571,600	$608,358	$36,758	6.43%	$356.39	$21.53
Adams 	787	$208,384	$242,069	$33,685	16.16%	$307.58	$42.80
Adrian 	1,209	$362,303	$402,593	$40,290	11.12%	$333.00	$33.33
Afton 	2,886	$0	$0	$0	0.00%	$0.00	$0.00
Aitkin 	2,165	$732,618	$751,452	$18,834	2.57%	$347.09	$8.70
Akeley 	432	$48,881	$64,598	$15,717	32.15%	$149.53	$36.38
Albany 	2,561	$627,315	$688,867	$61,552	9.81%	$268.98	$24.03
Albert Lea 	18,016	$4,724,618	$5,158,721	$434,103	9.19%	$286.34	$24.10
Alberta 	103	$28,357	$28,357	$0	0.00%	$275.31	$0.00
Albertville 	7,044	$0	$79,651	$79,651	0.00%	$11.31	$11.31
Alden 	661	$145,081	$176,339	$31,258	21.55%	$266.78	$47.29
Aldrich 	48	$6,423	$7,012	$589	9.17%	$146.08	$12.27
Alexandria 	11,070	$1,204,947	$1,463,786	$258,839	21.48%	$132.23	$23.38
Alpha 	116	$35,367	$35,810	$443	1.25%	$308.71	$3.82
Altura 	493	$43,918	$65,614	$21,696	49.40%	$133.09	$44.01
Alvarado 	363	$55,149	$72,854	$17,705	32.10%	$200.70	$48.77
Amboy 	534	$125,545	$140,680	$15,135	12.06%	$263.45	$28.34
Andover 	30,598	$0	$74,655	$74,655	0.00%	$2.44	$2.44
Annandale 	3,228	$260,224	$392,486	$132,262	50.83%	$121.59	$40.97
Anoka 	17,142	$901,095	$1,547,473	$646,378	71.73%	$90.27	$37.71
Apple Valley 	49,084	$0	$0	$0	0.00%	$0.00	$0.00
Appleton 	1,412	$876,061	$876,061	$0	0.00%	$620.44	$0.00
Arco 	75	$24,655	$24,655	$0	0.00%	$328.73	$0.00
Arden Hills 	9,552	$0	$0	$0	0.00%	$0.00	$0.00
Argyle 	639	$197,165	$217,107	$19,942	10.11%	$339.76	$31.21
Arlington 	2,233	$636,892	$714,407	$77,515	12.17%	$319.93	$34.71
Ashby 	446	$102,139	$114,762	$12,623	12.36%	$257.31	$28.30
Askov 	364	$64,584	$76,685	$12,101	18.74%	$210.67	$33.24
Atwater 	1,133	$237,341	$289,781	$52,440	22.09%	$255.76	$46.28
Audubon 	519	$98,560	$116,672	$18,112	18.38%	$224.80	$34.90
Aurora 	1,682	$605,415	$634,983	$29,568	4.88%	$377.52	$17.58
Austin 	24,718	$7,122,450	$7,878,853	$756,403	10.62%	$318.75	$30.60
Avoca 	147	$26,223	$26,223	$0	0.00%	$178.39	$0.00
Avon 	1,396	$209,935	$261,868	$51,933	24.74%	$187.58	$37.20
Babbitt 	1,475	$299,542	$347,809	$48,267	16.11%	$235.80	$32.72
Backus 	250	$28,410	$28,661	$251	0.88%	$114.64	$1.00
Badger 	375	$100,302	$108,960	$8,658	8.63%	$290.56	$23.09
Bagley 	1,392	$384,402	$435,637	$51,235	13.33%	$312.96	$36.81
Balaton 	643	$198,557	$218,928	$20,371	10.26%	$340.48	$31.68
Barnesville 	2,563	$655,766	$754,102	$98,336	15.00%	$294.23	$38.37
Barnum 	613	$128,897	$152,227	$23,330	18.10%	$248.33	$38.06
Barrett 	415	$57,809	$73,697	$15,888	27.48%	$177.58	$38.28
Barry 	16	$2,476	$2,476	$0	0.00%	$154.75	$0.00
Battle Lake 	875	$42,044	$74,208	$32,164	76.50%	$84.81	$36.76
Baudette 	1,106	$289,939	$297,714	$7,775	2.68%	$269.18	$7.03
Baxter 	7,610	$0	$0	$0	0.00%	$0.00	$0.00
Bayport 	3,471	$335,228	$483,262	$148,034	44.16%	$139.23	$42.65
Beardsley 	233	$74,065	$74,065	$0	0.00%	$317.88	$0.00
Beaver Bay 	181	$12,520	$12,520	$0	0.00%	$69.17	$0.00
Beaver Creek 	297	$40,424	$48,216	$7,792	19.28%	$162.34	$26.24
Becker 	4,538	$0	$0	$0	0.00%	$0.00	$0.00
Bejou 	89	$19,645	$19,921	$276	1.40%	$223.83	$3.10
Belgrade 	740	$180,345	$211,022	$30,677	17.01%	$285.16	$41.46
Belle Plaine 	6,661	$54,473	$279,862	$225,389	413.76%	$42.02	$33.84
Bellechester 	175	$17,774	$21,312	$3,538	19.91%	$121.78	$20.22
Bellingham 	168	$61,143	$61,143	$0	0.00%	$363.95	$0.00
Beltrami 	107	$25,817	$25,817	$0	0.00%	$241.28	$0.00
Belview 	384	$103,367	$114,645	$11,278	10.91%	$298.55	$29.37
Bemidji 	13,431	$2,906,194	$3,211,280	$305,086	10.50%	$239.09	$22.72
Bena 	116	$27,257	$29,545	$2,288	8.39%	$254.70	$19.72
Benson 	3,240	$776,650	$952,025	$175,375	22.58%	$293.83	$54.13
Bertha 	497	$132,871	$149,118	$16,247	12.23%	$300.04	$32.69
Bethel 	466	$35,117	$46,105	$10,988	31.29%	$98.94	$23.58
Big Falls 	236	$67,827	$70,673	$2,846	4.20%	$299.46	$12.06
Big Lake 	10,060	$156,014	$481,542	$325,528	208.65%	$47.87	$32.36
Bigelow 	235	$49,185	$55,155	$5,970	12.14%	$234.70	$25.40
Bigfork 	446	$80,363	$94,302	$13,939	17.35%	$211.44	$31.25
Bingham Lake 	126	$26,063	$26,063	$0	0.00%	$206.85	$0.00
Birchwood Village 	870	$0	$0	$0	0.00%	$0.00	$0.00
Bird Island 	1,042	$370,344	$388,606	$18,262	4.93%	$372.94	$17.53
Biscay 	113	$12,234	$16,049	$3,815	31.18%	$142.03	$33.76
Biwabik 	969	$263,385	$263,385	$0	0.00%	$271.81	$0.00
Blackduck 	785	$205,021	$238,786	$33,765	16.47%	$304.19	$43.01
Blaine 	57,186	$0	$0	$0	0.00%	$0.00	$0.00
Blomkest 	157	$16,533	$19,001	$2,468	14.93%	$121.03	$15.72
Blooming Prairie 	1,996	$647,677	$695,250	$47,573	7.35%	$348.32	$23.83
Bloomington 	82,893	$0	$403,952	$403,952	0.00%	$4.87	$4.87
Blue Earth 	3,353	$1,535,819	$1,774,258	$238,439	15.53%	$529.16	$71.11
Bluffton 	207	$32,101	$36,202	$4,101	12.78%	$174.89	$19.81
Bock 	106	$15,437	$16,169	$732	4.74%	$152.54	$6.91
Borup 	110	$17,772	$20,957	$3,185	17.92%	$190.52	$28.95
Bovey 	804	$251,002	$274,751	$23,749	9.46%	$341.73	$29.54
