City;$2,013;$2,014;Difference;%Chg;GEO.display-label;Pophuman;Population;GEO.id;GEO.id2;2014pclga;2014pcincrease
ADA;$571,600;$608,358;$36,758;6.43%;Ada ;1,707;1707;1600000US2700172;2700172;$356.39;$21.53
ADAMS;$208,384;$242,069;$33,685;16.16%;Adams ;787;787;1600000US2700190;2700190;$307.58;$42.80
ADRIAN;$362,303;$402,593;$40,290;11.12%;Adrian ;1,209;1209;1600000US2700262;2700262;$333.00;$33.33
AFTON;$0;$0;$0;0.00%;Afton ;2,886;2886;1600000US2700316;2700316;$0.00;$0.00
AITKIN;$732,618;$751,452;$18,834;2.57%;Aitkin ;2,165;2165;1600000US2700460;2700460;$347.09;$8.70
AKELEY;$48,881;$64,598;$15,717;32.15%;Akeley ;432;432;1600000US2700496;2700496;$149.53;$36.38
ALBANY;$627,315;$688,867;$61,552;9.81%;Albany ;2,561;2561;1600000US2700622;2700622;$268.98;$24.03
ALBERT LEA;$4,724,618;$5,158,721;$434,103;9.19%;Albert Lea ;18,016;18016;1600000US2700694;2700694;$286.34;$24.10
ALBERTA;$28,357;$28,357;$0;0.00%;Alberta ;103;103;1600000US2700676;2700676;$275.31;$0.00
ALBERTVILLE;$0;$79,651;$79,651;0.00%;Albertville ;7,044;7044;1600000US2700730;2700730;$11.31;$11.31
ALDEN;$145,081;$176,339;$31,258;21.55%;Alden ;661;661;1600000US2700838;2700838;$266.78;$47.29
ALDRICH;$6,423;$7,012;$589;9.17%;Aldrich ;48;48;1600000US2700892;2700892;$146.08;$12.27
ALEXANDRIA;$1,204,947;$1,463,786;$258,839;21.48%;Alexandria ;11,070;11070;1600000US2700928;2700928;$132.23;$23.38
ALPHA;$35,367;$35,810;$443;1.25%;Alpha ;116;116;1600000US2701162;2701162;$308.71;$3.82
ALTURA;$43,918;$65,614;$21,696;49.40%;Altura ;493;493;1600000US2701234;2701234;$133.09;$44.01
ALVARADO;$55,149;$72,854;$17,705;32.10%;Alvarado ;363;363;1600000US2701252;2701252;$200.70;$48.77
AMBOY;$125,545;$140,680;$15,135;12.06%;Amboy ;534;534;1600000US2701324;2701324;$263.45;$28.34
ANDOVER;$0;$74,655;$74,655;0.00%;Andover ;30,598;30598;1600000US2701486;2701486;$2.44;$2.44
ANNANDALE;$260,224;$392,486;$132,262;50.83%;Annandale ;3,228;3228;1600000US2701684;2701684;$121.59;$40.97
ANOKA;$901,095;$1,547,473;$646,378;71.73%;Anoka ;17,142;17142;1600000US2701720;2701720;$90.27;$37.71
APPLE VALLEY;$0;$0;$0;0.00%;Apple Valley ;49,084;49084;1600000US2701900;2701900;$0.00;$0.00
APPLETON;$876,061;$876,061;$0;0.00%;Appleton ;1,412;1412;1600000US2701864;2701864;$620.44;$0.00
ARCO;$24,655;$24,655;$0;0.00%;Arco ;75;75;1600000US2701972;2701972;$328.73;$0.00
ARDEN HILLS;$0;$0;$0;0.00%;Arden Hills ;9,552;9552;1600000US2702026;2702026;$0.00;$0.00
ARGYLE;$197,165;$217,107;$19,942;10.11%;Argyle ;639;639;1600000US2702134;2702134;$339.76;$31.21
ARLINGTON;$636,892;$714,407;$77,515;12.17%;Arlington ;2,233;2233;1600000US2702152;2702152;$319.93;$34.71
ASHBY;$102,139;$114,762;$12,623;12.36%;Ashby ;446;446;1600000US2702422;2702422;$257.31;$28.30
ASKOV;$64,584;$76,685;$12,101;18.74%;Askov ;364;364;1600000US2702548;2702548;$210.67;$33.24
ATWATER;$237,341;$289,781;$52,440;22.09%;Atwater ;1,133;1133;1600000US2702692;2702692;$255.76;$46.28
AUDUBON;$98,560;$116,672;$18,112;18.38%;Audubon ;519;519;1600000US2702728;2702728;$224.80;$34.90
AURORA;$605,415;$634,983;$29,568;4.88%;Aurora ;1,682;1682;1600000US2702872;2702872;$377.52;$17.58
AUSTIN;$7,122,450;$7,878,853;$756,403;10.62%;Austin ;24,718;24718;1600000US2702908;2702908;$318.75;$30.60
AVOCA;$26,223;$26,223;$0;0.00%;Avoca ;147;147;1600000US2703052;2703052;$178.39;$0.00
AVON;$209,935;$261,868;$51,933;24.74%;Avon ;1,396;1396;1600000US2703070;2703070;$187.58;$37.20
BABBITT;$299,542;$347,809;$48,267;16.11%;Babbitt ;1,475;1475;1600000US2703106;2703106;$235.80;$32.72
BACKUS;$28,410;$28,661;$251;0.88%;Backus ;250;250;1600000US2703124;2703124;$114.64;$1.00
BADGER;$100,302;$108,960;$8,658;8.63%;Badger ;375;375;1600000US2703160;2703160;$290.56;$23.09
BAGLEY;$384,402;$435,637;$51,235;13.33%;Bagley ;1,392;1392;1600000US2703196;2703196;$312.96;$36.81
BALATON;$198,557;$218,928;$20,371;10.26%;Balaton ;643;643;1600000US2703250;2703250;$340.48;$31.68
