City,yr2013,yr2014,Difference,PctChg,GEO.display-label,Population,PopHuman,GEO.id,GEO.id2,2014pclga,2014pcincrease,m2013,m2014,mdifference,mpctchg,mpclga,mpcincrease
TOTALS,"$427,494,640.00","$507,598,012.00","$80,103,372.00",18.74%,Minnesota,4338852,"4,338,852",,,$116.99,$18.46,427494640,507598012,80103372,.1874,116.99,18.46
ADA,"$571,600.00","$608,358.00","$36,758.00",6.43%,Ada ,1707,"1,707",1600000US2700172,2700172,$356.39,$21.53,571600,608358,36758,.0643,356.39,21.53
ADAMS,"$208,384.00","$242,069.00","$33,685.00",16.16%,Adams ,787,787,1600000US2700190,2700190,$307.58,$42.80,208384,242069,33685,.1616,307.58,42.80
ADRIAN,"$362,303.00","$402,593.00","$40,290.00",11.12%,Adrian ,1209,"1,209",1600000US2700262,2700262,$333.00,$33.33,362303,402593,40290,.1112,333.00,33.33
AFTON,$0.00,$0.00,$0.00,0.00%,Afton ,2886,"2,886",1600000US2700316,2700316,$0.00,$0.00,0,0,0,.0000,0.00,0.00
AITKIN,"$732,618.00","$751,452.00","$18,834.00",2.57%,Aitkin ,2165,"2,165",1600000US2700460,2700460,$347.09,$8.70,732618,751452,18834,.0257,347.09,8.70
AKELEY,"$48,881.00","$64,598.00","$15,717.00",32.15%,Akeley ,432,432,1600000US2700496,2700496,$149.53,$36.38,48881,64598,15717,.3215,149.53,36.38
ALBANY,"$627,315.00","$688,867.00","$61,552.00",9.81%,Albany ,2561,"2,561",1600000US2700622,2700622,$268.98,$24.03,627315,688867,61552,.0981,268.98,24.03
ALBERT LEA,"$4,724,618.00","$5,158,721.00","$434,103.00",9.19%,Albert Lea ,18016,"18,016",1600000US2700694,2700694,$286.34,$24.10,4724618,5158721,434103,.0919,286.34,24.10
ALBERTA,"$28,357.00","$28,357.00",$0.00,0.00%,Alberta ,103,103,1600000US2700676,2700676,$275.31,$0.00,28357,28357,0,.0000,275.31,0.00
ALBERTVILLE,$0.00,"$79,651.00","$79,651.00",0.00%,Albertville ,7044,"7,044",1600000US2700730,2700730,$11.31,$11.31,0,79651,79651,.0000,11.31,11.31
ALDEN,"$145,081.00","$176,339.00","$31,258.00",21.55%,Alden ,661,661,1600000US2700838,2700838,$266.78,$47.29,145081,176339,31258,.2155,266.78,47.29
ALDRICH,"$6,423.00","$7,012.00",$589.00,9.17%,Aldrich ,48,48,1600000US2700892,2700892,$146.08,$12.27,6423,7012,589,.0917,146.08,12.27
ALEXANDRIA,"$1,204,947.00","$1,463,786.00","$258,839.00",21.48%,Alexandria ,11070,"11,070",1600000US2700928,2700928,$132.23,$23.38,1204947,1463786,258839,.2148,132.23,23.38
ALPHA,"$35,367.00","$35,810.00",$443.00,1.25%,Alpha ,116,116,1600000US2701162,2701162,$308.71,$3.82,35367,35810,443,.0125,308.71,3.82
ALTURA,"$43,918.00","$65,614.00","$21,696.00",49.40%,Altura ,493,493,1600000US2701234,2701234,$133.09,$44.01,43918,65614,21696,.4940,133.09,44.01
ALVARADO,"$55,149.00","$72,854.00","$17,705.00",32.10%,Alvarado ,363,363,1600000US2701252,2701252,$200.70,$48.77,55149,72854,17705,.3210,200.70,48.77
AMBOY,"$125,545.00","$140,680.00","$15,135.00",12.06%,Amboy ,534,534,1600000US2701324,2701324,$263.45,$28.34,125545,140680,15135,.1206,263.45,28.34
ANDOVER,$0.00,"$74,655.00","$74,655.00",0.00%,Andover ,30598,"30,598",1600000US2701486,2701486,$2.44,$2.44,0,74655,74655,.0000,2.44,2.44
ANNANDALE,"$260,224.00","$392,486.00","$132,262.00",50.83%,Annandale ,3228,"3,228",1600000US2701684,2701684,$121.59,$40.97,260224,392486,132262,.5083,121.59,40.97
ANOKA,"$901,095.00","$1,547,473.00","$646,378.00",71.73%,Anoka ,17142,"17,142",1600000US2701720,2701720,$90.27,$37.71,901095,1547473,646378,.7173,90.27,37.71
APPLE VALLEY,$0.00,$0.00,$0.00,0.00%,Apple Valley ,49084,"49,084",1600000US2701900,2701900,$0.00,$0.00,0,0,0,.0000,0.00,0.00
APPLETON,"$876,061.00","$876,061.00",$0.00,0.00%,Appleton ,1412,"1,412",1600000US2701864,2701864,$620.44,$0.00,876061,876061,0,.0000,620.44,0.00
ARCO,"$24,655.00","$24,655.00",$0.00,0.00%,Arco ,75,75,1600000US2701972,2701972,$328.73,$0.00,24655,24655,0,.0000,328.73,0.00
ARDEN HILLS,$0.00,$0.00,$0.00,0.00%,Arden Hills ,9552,"9,552",1600000US2702026,2702026,$0.00,$0.00,0,0,0,.0000,0.00,0.00
ARGYLE,"$197,165.00","$217,107.00","$19,942.00",10.11%,Argyle ,639,639,1600000US2702134,2702134,$339.76,$31.21,197165,217107,19942,.1011,339.76,31.21
ARLINGTON,"$636,892.00","$714,407.00","$77,515.00",12.17%,Arlington ,2233,"2,233",1600000US2702152,2702152,$319.93,$34.71,636892,714407,77515,.1217,319.93,34.71
ASHBY,"$102,139.00","$114,762.00","$12,623.00",12.36%,Ashby ,446,446,1600000US2702422,2702422,$257.31,$28.30,102139,114762,12623,.1236,257.31,28.30
ASKOV,"$64,584.00","$76,685.00","$12,101.00",18.74%,Askov ,364,364,1600000US2702548,2702548,$210.67,$33.24,64584,76685,12101,.1874,210.67,33.24
ATWATER,"$237,341.00","$289,781.00","$52,440.00",22.09%,Atwater ,1133,"1,133",1600000US2702692,2702692,$255.76,$46.28,237341,289781,52440,.2209,255.76,46.28
AUDUBON,"$98,560.00","$116,672.00","$18,112.00",18.38%,Audubon ,519,519,1600000US2702728,2702728,$224.80,$34.90,98560,116672,18112,.1838,224.80,34.90
AURORA,"$605,415.00","$634,983.00","$29,568.00",4.88%,Aurora ,1682,"1,682",1600000US2702872,2702872,$377.52,$17.58,605415,634983,29568,.0488,377.52,17.58
AUSTIN,"$7,122,450.00","$7,878,853.00","$756,403.00",10.62%,Austin ,24718,"24,718",1600000US2702908,2702908,$318.75,$30.60,7122450,7878853,756403,.1062,318.75,30.60
AVOCA,"$26,223.00","$26,223.00",$0.00,0.00%,Avoca ,147,147,1600000US2703052,2703052,$178.39,$0.00,26223,26223,0,.0000,178.39,0.00
AVON,"$209,935.00","$261,868.00","$51,933.00",24.74%,Avon ,1396,"1,396",1600000US2703070,2703070,$187.58,$37.20,209935,261868,51933,.2474,187.58,37.20
BABBITT,"$299,542.00","$347,809.00","$48,267.00",16.11%,Babbitt ,1475,"1,475",1600000US2703106,2703106,$235.80,$32.72,299542,347809,48267,.1611,235.80,32.72
BACKUS,"$28,410.00","$28,661.00",$251.00,0.88%,Backus ,250,250,1600000US2703124,2703124,$114.64,$1.00,28410,28661,251,.0088,114.64,1.00
BADGER,"$100,302.00","$108,960.00","$8,658.00",8.63%,Badger ,375,375,1600000US2703160,2703160,$290.56,$23.09,100302,108960,8658,.0863,290.56,23.09
BAGLEY,"$384,402.00","$435,637.00","$51,235.00",13.33%,Bagley ,1392,"1,392",1600000US2703196,2703196,$312.96,$36.81,384402,435637,51235,.1333,312.96,36.81
