GEO.id,GEO.id2,GEO.display-label,D001
1600000US2700172,2700172,"Ada city, Minnesota",1707
1600000US2700190,2700190,"Adams city, Minnesota",787
1600000US2700262,2700262,"Adrian city, Minnesota",1209
1600000US2700316,2700316,"Afton city, Minnesota",2886
1600000US2700460,2700460,"Aitkin city, Minnesota",2165
1600000US2700496,2700496,"Akeley city, Minnesota",432
1600000US2700622,2700622,"Albany city, Minnesota",2561
1600000US2700676,2700676,"Alberta city, Minnesota",103
1600000US2700694,2700694,"Albert Lea city, Minnesota",18016
1600000US2700730,2700730,"Albertville city, Minnesota",7044
1600000US2700838,2700838,"Alden city, Minnesota",661
1600000US2700892,2700892,"Aldrich city, Minnesota",48
1600000US2700928,2700928,"Alexandria city, Minnesota",11070
1600000US2701162,2701162,"Alpha city, Minnesota",116
1600000US2701234,2701234,"Altura city, Minnesota",493
1600000US2701252,2701252,"Alvarado city, Minnesota",363
1600000US2701324,2701324,"Amboy city, Minnesota",534
1600000US2701486,2701486,"Andover city, Minnesota",30598
1600000US2701558,2701558,"Angle Inlet CDP, Minnesota",60
1600000US2701684,2701684,"Annandale city, Minnesota",3228
1600000US2701720,2701720,"Anoka city, Minnesota",17142
1600000US2701864,2701864,"Appleton city, Minnesota",1412
1600000US2701900,2701900,"Apple Valley city, Minnesota",49084
1600000US2701972,2701972,"Arco city, Minnesota",75
1600000US2702026,2702026,"Arden Hills city, Minnesota",9552
1600000US2702134,2702134,"Argyle city, Minnesota",639
1600000US2702152,2702152,"Arlington city, Minnesota",2233
1600000US2702260,2702260,"Arnold CDP, Minnesota",2960
1600000US2702422,2702422,"Ashby city, Minnesota",446
1600000US2702548,2702548,"Askov city, Minnesota",364
1600000US2702692,2702692,"Atwater city, Minnesota",1133
1600000US2702728,2702728,"Audubon city, Minnesota",519
1600000US2702872,2702872,"Aurora city, Minnesota",1682
1600000US2702908,2702908,"Austin city, Minnesota",24718
1600000US2703052,2703052,"Avoca city, Minnesota",147
1600000US2703070,2703070,"Avon city, Minnesota",1396
1600000US2703106,2703106,"Babbitt city, Minnesota",1475
1600000US2703124,2703124,"Backus city, Minnesota",250
1600000US2703160,2703160,"Badger city, Minnesota",375
1600000US2703196,2703196,"Bagley city, Minnesota",1392
1600000US2703214,2703214,"Baker CDP, Minnesota",55
1600000US2703250,2703250,"Balaton city, Minnesota",643
1600000US2703376,2703376,"Ball Club CDP, Minnesota",342
1600000US2703574,2703574,"Barnesville city, Minnesota",2563
1600000US2703628,2703628,"Barnum city, Minnesota",613
1600000US2703682,2703682,"Barrett city, Minnesota",415
1600000US2703718,2703718,"Barry city, Minnesota",16
1600000US2703970,2703970,"Battle Lake city, Minnesota",875
1600000US2704024,2704024,"Baudette city, Minnesota",1106
1600000US2704042,2704042,"Baxter city, Minnesota",7610
1600000US2704114,2704114,"Bayport city, Minnesota",3471
1600000US2704204,2704204,"Beardsley city, Minnesota",233
1600000US2704348,2704348,"Beaulieu CDP, Minnesota",48
1600000US2704456,2704456,"Beaver Bay city, Minnesota",181
1600000US2704492,2704492,"Beaver Creek city, Minnesota",297
1600000US2704618,2704618,"Becker city, Minnesota",4538
1600000US2704672,2704672,"Bejou city, Minnesota",89
1600000US2704762,2704762,"Belgrade city, Minnesota",740
1600000US2704798,2704798,"Bellechester city, Minnesota",175
1600000US2704834,2704834,"Belle Plaine city, Minnesota",6661
1600000US2704960,2704960,"Bellingham city, Minnesota",168
1600000US2705014,2705014,"Beltrami city, Minnesota",107
1600000US2705050,2705050,"Belview city, Minnesota",384
1600000US2705068,2705068,"Bemidji city, Minnesota",13431
1600000US2705104,2705104,"Bena city, Minnesota",116
1600000US2705212,2705212,"Benson city, Minnesota",3240
1600000US2705482,2705482,"Bertha city, Minnesota",497
1600000US2705554,2705554,"Bethel city, Minnesota",466
1600000US2705644,2705644,"Bigelow city, Minnesota",235
1600000US2705680,2705680,"Big Falls city, Minnesota",236
1600000US2705698,2705698,"Bigfork city, Minnesota",446
1600000US2705744,2705744,"Big Lake CDP, Minnesota",443
1600000US2705752,2705752,"Big Lake city, Minnesota",10060
1600000US2705896,2705896,"Bingham Lake city, Minnesota",126
1600000US2706058,2706058,"Birchwood Village city, Minnesota",870
1600000US2706076,2706076,"Bird Island city, Minnesota",1042
1600000US2706112,2706112,"Biscay city, Minnesota",113
1600000US2706148,2706148,"Biwabik city, Minnesota",969
1600000US2706256,2706256,"Blackduck city, Minnesota",785
1600000US2706382,2706382,"Blaine city, Minnesota",57186
1600000US2706490,2706490,"Blomkest city, Minnesota",157
1600000US2706580,2706580,"Blooming Prairie city, Minnesota",1996
1600000US2706616,2706616,"Bloomington city, Minnesota",82893
